text,label
"Health officials confirmed 27 new cases of cybersecurity across three states, urging residents to take precautions.",1
International negotiators reached an agreement on education after 24 days of talks in New York.,1
The NIH announced a new inflation initiative backed by $25 million in federal funding.,1
The Supreme Court ruled 8-1 in favor of the plaintiffs in a landmark cybersecurity case.,1
You won't BELIEVE what the government is putting in your garlic — share before it gets DELETED!,0
MIRACLE: Man cures COVID-19 in 17 days using only turmeric — doctors are FURIOUS!,0
ALERT: New law will FORCE every citizen to register biometrics by 2011 — fight back NOW!,0
International negotiators reached an agreement on education after 46 days of talks in New York.,1
The Supreme Court ruled 8-2 in favor of the plaintiffs in a landmark healthcare case.,1
"Scientists at Johns Hopkins have discovered new evidence linking cybersecurity to reduced cancer risk, according to a study published in Nature.",1
"Police arrested 5 suspects in connection with the education investigation, authorities said Tuesday.",1
The TRUTH about climate change that THEY don't want you to know — 36% of doctors AGREE!,0
You won't BELIEVE what the government is putting in your lemon water — share before it gets DELETED!,0
BREAKING: Elon Musk was SECRETLY arrested for corruption — mainstream media is SILENT!,0
International negotiators reached an agreement on education after 17 days of talks in New York.,1
London city council voted 8-4 in favor of the new inflation policy on Monday.,1
Washington city council voted 7-3 in favor of the new cybersecurity policy on Tuesday.,1
WARNING: This common household chemical is DESTROYING your immune system — share immediately!,0
International negotiators reached an agreement on climate change after 11 days of talks in Geneva.,1
ALERT: New law will FORCE every citizen to get chipped by 2022 — fight back NOW!,0
BREAKING: Elon Musk was SECRETLY arrested for corruption — mainstream media is SILENT!,0
International negotiators reached an agreement on cybersecurity after 24 days of talks in Geneva.,1
BREAKING: George Soros was SECRETLY arrested for drug trafficking — mainstream media is SILENT!,0
The IMF announced a new cybersecurity initiative backed by $38 million in federal funding.,1
The FDA released a report showing 56% improvement in cybersecurity over the past 15 years.,1
EXPOSED: NIH has been paying Barack Obama to push TOXIC chemical on unsuspecting Americans!,0
You won't BELIEVE what the government is putting in your garlic — share before it gets DELETED!,0
EXPOSED: EPA has been paying Barack Obama to push TOXIC medication on unsuspecting Americans!,0
Paris city council voted 6-1 in favor of the new inflation policy on Wednesday.,1
International negotiators reached an agreement on cybersecurity after 22 days of talks in Washington.,1
"Police arrested 34 suspects in connection with the inflation investigation, authorities said Tuesday.",1
"Scientists at Johns Hopkins have discovered new evidence linking climate change to improved cognitive function, according to a study published in Nature.",1
WARNING: This common household vaccine is DESTROYING your kidneys — share immediately!,0
BREAKING: Elon Musk was SECRETLY arrested for treason — mainstream media is SILENT!,0
Shares of Google rose 91% after the company reported quarterly earnings above analyst expectations.,1
BOMBSHELL report reveals FDA has been secretly funding cybersecurity operations for DECADES!,0
"Scientists at Harvard have discovered new evidence linking climate change to reduced cancer risk, according to a study published in Nature.",1
